frequency,average_waiting_time
1,9688.9024
2,9362.2381
3,9129.731173117312
4,8762.14
5,8540.95175
6,8099.610861086108
7,7827.524676233812
8,7669.0148
9,7263.071557155716
10,6953.8545
11,6627.655665566556
12,6405.234093637455
13,6123.508452535761
14,5740.717787114846
15,5411.617404351088
16,4918.696
17,4752.492346938776
18,4491.755175517552
19,4154.731939163498
20,4040.484
21,3442.501050420168
22,3329.6292629262925
23,3010.4499424626006
24,2784.8211284513804
25,2405.55875
26,1809.4655396618987
27,1680.9391891891892
28,1104.0742296918768
29,757.4673439767779
30,595.8528528528528
31,571.2992248062016
32,479.2208
33,180.59405940594058
34,104.43027210884354
35,174.78108581436078
36,94.96756756756757
37,59.38703703703704
38,64.34220532319392
39,61.021484375
40,54.532
41,44.60369609856263
42,51.00420168067227
43,46.66451612903226
44,45.24669603524229
45,44.527027027027025
46,39.74884792626728
47,39.927058823529414
48,42.08653846153846
49,37.629901960784316
50,36.2225
51,37.74744897959184
52,36.682291666666664
53,38.710875331564985
54,34.362162162162164
55,35.63636363636363
56,35.12605042016807
57,32.145714285714284
58,34.94767441860465
59,33.967455621301774
60,35.1021021021021
61,33.345565749235476
62,31.009316770186334
63,33.078864353312305
64,32.46474358974359
65,33.78175895765472
66,32.693069306930695
67,32.69463087248322
68,31.578231292517007
69,31.06228373702422
70,33.27017543859649
71,32.54092526690391
72,32.26353790613718
73,34.83150183150183
74,32.714814814814815
75,33.21804511278196
76,33.39923954372624
77,31.482625482625483
78,32.27734375
79,30.9802371541502
80,32.352
81,31.422764227642276
82,34.32921810699588
83,32.77916666666667
84,33.621848739495796
85,32.17446808510638
86,31.870689655172413
87,32.7117903930131
88,31.674008810572687
89,33.816964285714285
90,34.531531531531535
91,33.054794520547944
92,32.63594470046083
93,30.56279069767442
94,34.27358490566038
95,32.647619047619045
96,31.64423076923077
97,32.78155339805825
98,33.63725490196079
99,31.059405940594058

